summoner_name,played_with,won_with,played_against,lost_against,date,last_played
keyso7,1.0,1,0,0,25-3-2023 14:2,Kayn
keske ölsem,1.0,1,0,0,4-8-2022 19:45,Jayce
ke la bagar,1.0,1,0,0,9-6-2022 9:26,Kayle
kathyyoho,1.0,1,0,0,14-7-2023 22:8,Talon
kakapupu uwu,1.0,1,0,0,7-2-2023 11:25,Ezreal
kaitohunt,1.0,1,0,0,14-2-2023 19:57,Qiyana
kRiTiKalH,1.0,1,0,0,4-8-2022 19:45,Jayce
k1Nzo,1.0,1,0,0,24-10-2022 12:37,Lillia
julisgame,1.0,1,0,0,25-2-2023 12:33,Corki
jonasunlock,1.0,1,0,0,24-7-2022 17:6,Diana
jonanrs,1.0,1,0,0,4-1-2023 11:4,Gangplank
jiboutiouti,1.0,1,0,0,25-6-2023 12:45,Talon
jbinouz,1.0,1,0,0,25-4-2023 12:7,MissFortune
jazzBoner,1.0,1,0,0,16-5-2023 15:50,Twitch
jax107,1.0,1,0,0,15-6-2022 15:42,Malphite
jaderulf,1.0,1,0,0,4-1-2023 11:5,Morgana
iΚao,1.0,1,0,0,7-2-2023 11:25,Zilean
itug,1.0,1,0,0,15-6-2022 16:39,Samira
ittekimatsu,1.0,1,0,0,9-5-2023 17:5,Ziggs
itsnotraees,1.0,1,0,0,5-1-2023 22:40,Khazix
its not funny,1.0,1,0,0,9-9-2022 10:4,Jinx
itSaul Goodman,1.0,1,0,0,25-3-2023 16:21,Blitzcrank
issboy,1.0,1,0,0,28-8-2023 21:16,Sylas
inntw,1.0,1,0,0,28-6-2023 21:28,Varus
innefer,1.0,1,0,0,10-12-2022 20:52,Chogath
il neige,1.0,1,0,0,27-11-2022 18:26,Malphite
iippod,1.0,1,0,0,11-1-2023 20:35,Gragas
ich will bumsen,1.0,1,0,0,28-6-2023 21:28,Leblanc
ich liebe füße,1.0,1,0,0,25-4-2023 12:6,Kayn
iantriix,1.0,1,0,0,19-5-2023 22:29,MasterYi
iamMASTERMIND,1.0,1,0,0,16-12-2022 20:54,Karthus
iXclusiv3,1.0,1,0,0,15-6-2022 15:43,Irelia
iTrungus,1.0,1,0,0,11-7-2022 18:3,Nasus
iSpaex,1.0,1,0,0,4-1-2023 11:5,Soraka
iSev,1.0,1,0,0,15-5-2023 22:8,Pyke
iLostMyADC,1.0,1,0,0,26-5-2022 17:11,Kaisa
iFlaimY,1.0,1,0,0,19-7-2022 11:48,Veigar
iDreamz7,1.0,1,0,0,16-9-2022 10:5,Cassiopeia
iA Simonrex,1.0,1,0,0,30-7-2022 12:42,Taliyah
holymolyh,1.0,1,0,0,22-10-2022 19:21,Lillia
help me oma,1.0,1,0,0,8-7-2023 10:56,Tryndamere
heckisback,1.0,1,0,0,19-3-2023 13:11,Yone
haupkomiser 110,1.0,1,0,0,9-6-2022 10:1,Aphelios
hatchyack35,1.0,1,0,0,22-11-2023 9:28,Ahri
golem de pierre,1.0,1,0,0,15-6-2022 15:42,Rammus
golden iceberg,1.0,1,0,0,9-9-2022 11:13,Kindred
gnoobs,1.0,1,0,0,28-6-2023 21:27,Lux
giuseppelv63,1.0,1,0,0,11-10-2023 18:31,Nilah
ghillaz,1.0,1,0,0,18-6-2023 14:22,Fiora
gginng,1.0,1,0,0,16-5-2023 10:3,Cassiopeia
ggezi,1.0,1,0,0,18-6-2023 14:22,Maokai
gapsdmg,1.0,1,0,0,23-10-2023 13:10,Sivir
gagatoum,1.0,1,0,0,14-7-2023 22:8,Kled
fullmuteªll,1.0,1,0,0,19-7-2022 11:49,Sion
