summoner_name,played_with,won_with,played_against,lost_against,last_played,date
Shattas Lover,1.0,0,0,0,Ashe,19-7-2022 11:49
ShadowGuardianPT,1.0,0,0,0,Urgot,9-8-2022 22:22
Scroft,1.0,0,0,0,Irelia,7-8-2022 12:4
Saynor5,1.0,0,0,0,Tryndamere,0
Sanklylol,1.0,0,0,0,Riven,24-7-2022 17:43
Sabo3D2Y,1.0,0,0,0,Teemo,10-8-2022 13:23
SANDIP,1.0,0,0,0,Shaco,0
S4ndkastenrambo,1.0,0,0,0,Lux,19-7-2022 11:49
Rísìng,1.0,0,0,0,Akshan,0
Ruthless Chemist,1.0,0,0,0,Yone,6-9-2022 10:26
Rectooz,1.0,0,0,0,Olaf,10-8-2022 13:23
RandalfTheWhite,1.0,0,0,0,Darius,1-8-2022 21:4
Rackebajsare,1.0,0,0,0,Pantheon,16-8-2022 10:54
Purzelking,1.0,0,0,0,Malzahar,19-7-2022 11:49
Psynide,1.0,0,0,0,Riven,0
Pinsku,1.0,0,0,0,Ashe,23-8-2022 16:45
Peαchylicious,1.0,0,0,0,Janna,6-9-2022 10:26
Pedazo loro,1.0,0,0,0,Veigar,3-8-2022 14:48
PanThumaca,1.0,0,0,0,Pantheon,9-8-2022 10:51
Pafffff le chien,1.0,0,0,0,Yasuo,3-8-2022 14:48
POP SMOKE 00,1.0,0,0,0,Teemo,9-8-2022 22:21
Ongamar,1.0,0,0,0,MonkeyKing,0
Oh no ADC,1.0,0,0,0,Draven,11-8-2022 20:4
NurgleChaos,1.0,0,0,0,Ziggs,7-8-2022 12:4
Name Changed,1.0,0,0,0,Yuumi,0
MlKEYYY,1.0,0,0,0,Caitlyn,10-8-2022 13:23
Miss Handelt,1.0,0,0,0,Veigar,6-9-2022 10:26
MilleniumKnight,1.0,0,0,0,Warwick,6-9-2022 10:26
Milka5215,1.0,0,0,0,Kayn,9-8-2022 22:22
Miki4ty,1.0,0,0,0,Soraka,0
Mike4tw123,1.0,0,0,0,Lux,8-8-2022 21:40
Maximass,1.0,0,0,0,Rengar,24-7-2022 18:38
Marshal Zero,1.0,0,0,0,Rengar,16-8-2022 10:31
Magma Diff,1.0,0,0,0,Katarina,6-9-2022 10:27
Made In China 07,1.0,0,0,0,Leblanc,23-8-2022 16:45
Lundgren,1.0,0,0,0,MasterYi,0
Longhun,1.0,0,0,0,Katarina,1-8-2022 21:4
Lemarac711,1.0,0,0,0,Aatrox,9-8-2022 22:22
Lanceltu9,1.0,0,0,0,Ivern,11-8-2022 20:4
LambyWolf,1.0,0,0,0,Janna,3-8-2022 14:48
Lafajetski,1.0,0,0,0,Jhin,23-8-2022 16:46
Kyutos,1.0,0,0,0,Syndra,0
Kuekuatsheu101,1.0,0,0,0,Morgana,10-8-2022 13:23
Krónös,1.0,0,0,0,Brand,7-8-2022 12:4
Kotik,1.0,0,0,0,Zyra,11-8-2022 20:4
Korsbo,1.0,0,0,0,Teemo,7-8-2022 12:4
Knieselstein,1.0,0,0,0,Viego,7-8-2022 12:4
KingOwTiger,1.0,0,0,0,Teemo,0
Kelgrinnn,1.0,0,0,0,Ornn,14-8-2022 14:31
Katoro,1.0,0,0,0,Akali,0
KaptjanKjær,1.0,0,0,0,Shyvana,24-7-2022 17:43
Juubix,1.0,0,0,0,Yasuo,8-8-2022 21:40
JustPeterGP,1.0,0,0,0,Brand,14-8-2022 14:31
Jesucritico,1.0,0,0,0,Ezreal,0
ItsJemp,1.0,0,0,0,Senna,10-8-2022 13:23
IPrivateIPampers,1.0,0,0,0,Nocturne,0
Húgin,1.0,0,0,0,Sett,0
HyÐrα,1.0,0,0,0,Pyke,6-9-2022 10:27
HouJeTeringBek,1.0,0,0,0,Vayne,0
Hirnzelle,1.0,0,0,0,Irelia,4-8-2022 19:46
Hi im Elevator,1.0,0,0,0,Jhin,9-8-2022 22:22
HauntedPoro,1.0,0,0,0,Pyke,0
HauntedHydra,1.0,0,0,0,Ekko,0
Hadrey,1.0,0,0,0,MissFortune,0
GreloOnFire,1.0,0,0,0,Yasuo,30-7-2022 12:42
Grahamkooo,1.0,0,0,0,Caitlyn,1-8-2022 21:4
Gohorte,1.0,0,0,0,Caitlyn,6-9-2022 10:26
GoblinMuncher,1.0,0,0,0,Yorick,24-9-2022 23:1
