temp: 16.88C 	 humi: 69.737% 	 co2: 432 	 pm25: -1.0 	 pm100: -1.0 	 press: 1007.66Pa 	 gasRes: None Ohm 	 outside temp: 8.46 C
temp: 16.89C 	 humi: 69.52% 	 co2: 436 	 pm25: -1.0 	 pm100: -1.0 	 press: 1007.74Pa 	 gasRes: None Ohm 	 outside temp: 8.41 C
temp: 16.9C 	 humi: 69.128% 	 co2: 440 	 pm25: -1.0 	 pm100: -1.0 	 press: 1007.82Pa 	 gasRes: None Ohm 	 outside temp: 8.39 C
temp: 16.91C 	 humi: 69.127% 	 co2: 437 	 pm25: -1.0 	 pm100: -1.0 	 press: 1007.88Pa 	 gasRes: None Ohm 	 outside temp: 8.39 C
temp: 16.92C 	 humi: 69.056% 	 co2: 433 	 pm25: -1.0 	 pm100: -1.0 	 press: 1007.97Pa 	 gasRes: None Ohm 	 outside temp: 8.18 C
temp: 16.92C 	 humi: 69.208% 	 co2: 435 	 pm25: -1.0 	 pm100: -1.0 	 press: 1008.12Pa 	 gasRes: None Ohm 	 outside temp: 8.07 C
temp: 16.91C 	 humi: 69.182% 	 co2: 435 	 pm25: -1.0 	 pm100: -1.0 	 press: 1008.2Pa 	 gasRes: None Ohm 	 outside temp: 7.84 C
temp: 16.89C 	 humi: 69.051% 	 co2: 439 	 pm25: -1.0 	 pm100: -1.0 	 press: 1008.28Pa 	 gasRes: None Ohm 	 outside temp: 7.84 C
temp: 16.88C 	 humi: 69.136% 	 co2: 440 	 pm25: -1.0 	 pm100: -1.0 	 press: 1008.4Pa 	 gasRes: None Ohm 	 outside temp: 7.71 C
temp: 16.86C 	 humi: 69.12% 	 co2: 449 	 pm25: -1.0 	 pm100: -1.0 	 press: 1008.43Pa 	 gasRes: None Ohm 	 outside temp: 7.72 C
temp: 16.84C 	 humi: 69.064% 	 co2: 458 	 pm25: -1.0 	 pm100: -1.0 	 press: 1008.51Pa 	 gasRes: None Ohm 	 outside temp: 7.61 C
temp: 16.82C 	 humi: 69.061% 	 co2: 469 	 pm25: -1.0 	 pm100: -1.0 	 press: 1008.59Pa 	 gasRes: None Ohm 	 outside temp: 7.57 C
temp: 16.8C 	 humi: 69.038% 	 co2: 480 	 pm25: -1.0 	 pm100: -1.0 	 press: 1008.67Pa 	 gasRes: None Ohm 	 outside temp: 7.32 C
temp: 16.78C 	 humi: 69.104% 	 co2: 488 	 pm25: -1.0 	 pm100: -1.0 	 press: 1008.75Pa 	 gasRes: None Ohm 	 outside temp: 7.25 C
temp: 16.76C 	 humi: 69.072% 	 co2: 490 	 pm25: -1.0 	 pm100: -1.0 	 press: 1008.82Pa 	 gasRes: None Ohm 	 outside temp: 7.25 C
temp: 16.74C 	 humi: 69.201% 	 co2: 497 	 pm25: -1.0 	 pm100: -1.0 	 press: 1008.9Pa 	 gasRes: None Ohm 	 outside temp: 7.25 C
temp: 16.72C 	 humi: 69.174% 	 co2: 504 	 pm25: -1.0 	 pm100: -1.0 	 press: 1009.02Pa 	 gasRes: None Ohm 	 outside temp: 7.07 C
temp: 16.71C 	 humi: 68.98% 	 co2: 506 	 pm25: -1.0 	 pm100: -1.0 	 press: 1009.12Pa 	 gasRes: None Ohm 	 outside temp: 7.06 C
temp: 16.69C 	 humi: 68.991% 	 co2: 510 	 pm25: -1.0 	 pm100: -1.0 	 press: 1009.2Pa 	 gasRes: None Ohm 	 outside temp: 6.84 C
temp: 16.68C 	 humi: 68.999% 	 co2: 504 	 pm25: -1.0 	 pm100: -1.0 	 press: 1009.29Pa 	 gasRes: None Ohm 	 outside temp: 6.82 C
temp: 16.67C 	 humi: 68.958% 	 co2: 510 	 pm25: -1.0 	 pm100: -1.0 	 press: 1009.41Pa 	 gasRes: None Ohm 	 outside temp: 6.76 C
temp: 16.65C 	 humi: 68.954% 	 co2: 507 	 pm25: -1.0 	 pm100: -1.0 	 press: 1009.47Pa 	 gasRes: None Ohm 	 outside temp: 6.69 C
temp: 16.63C 	 humi: 68.87% 	 co2: 505 	 pm25: -1.0 	 pm100: -1.0 	 press: 1009.57Pa 	 gasRes: None Ohm 	 outside temp: 6.68 C
temp: 16.61C 	 humi: 68.914% 	 co2: 501 	 pm25: -1.0 	 pm100: -1.0 	 press: 1009.69Pa 	 gasRes: None Ohm 	 outside temp: 6.68 C
temp: 16.6C 	 humi: 68.732% 	 co2: 506 	 pm25: -1.0 	 pm100: -1.0 	 press: 1009.78Pa 	 gasRes: None Ohm 	 outside temp: 6.6 C
temp: 16.59C 	 humi: 68.697% 	 co2: 512 	 pm25: -1.0 	 pm100: -1.0 	 press: 1009.88Pa 	 gasRes: None Ohm 	 outside temp: 6.62 C
temp: 16.59C 	 humi: 68.418% 	 co2: 530 	 pm25: -1.0 	 pm100: -1.0 	 press: 1009.96Pa 	 gasRes: None Ohm 	 outside temp: 6.62 C
