summoner_name,played_with,won_with,played_against,lost_against,last_played,date
Húdy,0.0,0,1,0,Jinx,0
Hunaja,0.0,0,1,0,Ashe,0
Hendaa,0.0,0,1,1,Ziggs,0
Hasagipups,0.0,0,1,0,Yone,4-8-2022 22:7
HardToOut,0.0,0,1,1,Garen,0
Hamahon,0.0,0,1,1,Leona,0
HSwinnie,0.0,0,1,1,Senna,0
Gwent Gaming,0.0,0,1,1,Talon,0
Gwen main sorry,0.0,0,1,0,Zoe,0
Guigoossens,0.0,0,1,0,Viktor,0
GuiNunoPT,0.0,0,1,0,Sejuani,0
Gryphuz,0.0,0,1,1,Akali,0
Gros Grappin ,0.0,0,1,1,Varus,0
Grillhugo,0.0,0,1,0,Urgot,0
GrandVitara,0.0,0,1,1,Gnar,0
Giulyand,0.0,0,1,1,Jinx,4-8-2022 22:7
Ginro sama,0.0,0,1,1,Trundle,0
GinoRambo,0.0,0,1,0,Kaisa,4-8-2022 22:7
GatoConBotax,0.0,0,1,0,Leona,0
Gamekiller123321,0.0,0,1,0,Yone,0
